,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
14107,679278.17,952.4348258972168,547.3248445987701,3.134124755859375,True,946.6705513000488,537.6423382759094,3.3291778564453125,True,
14108,679281.526,958.5767555236816,545.9240555763245,3.1371002197265625,True,953.9602088928224,521.3174700737,3.38275146484375,True,
14109,679284.796,950.251922607422,548.3979105949402,3.1405792236328125,True,951.3329887390136,517.2306847572327,3.404754638671875,True,
14110,679288.128,948.3527183532716,549.7087705135345,3.1468505859375,True,941.5450286865234,529.8286128044128,3.369491577148437,True,
14111,679291.497,943.8669776916504,544.594269990921,3.111236572265625,True,943.6255645751952,536.014666557312,3.357513427734375,True,
14112,679294.856,941.2141227722168,547.7789318561554,3.134033203125,True,939.6429061889648,503.68273973464966,3.4387359619140625,True,
14113,679298.118,941.8235778808594,547.2216868400574,3.137725830078125,True,950.6990432739258,513.1462812423706,3.4058074951171875,True,
14114,679301.464,940.5452156066896,541.7051768302917,3.1505889892578125,True,940.9358024597168,520.3572177886963,3.3825836181640625,True,
14115,679304.816,950.77880859375,527.3487067222595,3.1869354248046875,True,951.010036468506,529.2896819114685,3.3691558837890625,True,
14116,679308.183,954.8464965820312,546.2865400314331,3.150253295898437,True,951.3122177124023,530.5107092857361,3.344711303710937,True,
14117,679311.543,957.4958610534668,536.3015127182007,3.17803955078125,True,947.329444885254,517.9533362388611,3.37689208984375,True,
14118,679314.813,940.5963134765624,537.0142507553101,3.178375244140625,True,950.932388305664,527.1091103553772,3.368499755859375,True,
14119,679318.149,939.6706581115724,535.4412961006165,3.181427001953125,True,950.9743309020996,524.7256350517273,3.365097045898437,True,
14120,679321.509,944.4427871704102,539.7158575057983,3.150146484375,True,938.529453277588,513.6102175712585,3.398956298828125,True,
14121,679324.87,942.795467376709,543.6633718013763,3.14996337890625,True,943.6200714111328,512.8301453590393,3.408843994140625,True,
14122,679328.124,944.820671081543,536.5569448471069,3.171371459960937,True,935.8293914794922,517.7846789360046,3.390655517578125,True,
14123,679331.48,945.2751159667968,540.3497385978699,3.1397857666015625,True,935.687370300293,523.4591603279114,3.3772125244140625,True,
14124,679334.838,939.8931884765624,523.457293510437,3.21466064453125,True,936.15571975708,514.372136592865,3.3825836181640625,True,
14125,679338.2,943.6885643005372,536.2822651863098,3.185272216796875,True,951.0610198974608,511.04257106781006,3.401092529296875,True,
